Name,Entity
Libysche Islamische Kampfgruppe,E
RABITA TRUST,E
Al-Furqan Foundation Welfare Trust,E
Al-Furqan Welfare Foundation,E
Dru�tvo za obnovu islamskog naslje�a,E
Jamia Ihya ul Turath,E
Jamiat Ihia Al-Turath Al-Islamiya,E
Revival of Islamic Heritage Society,E
Revival of Islamic Society Heritage on the African Continent,E
RIHS,E
Sociedade da Restaura��o do Patrim�nio Isl�mico,E
Societatea Rena.terii Patrimoniului Islamic,E
Al Qaida au Maghreb islamique,E
Al Qa�da au Maghreb islamique (AQMI),E
Al-Qaida organizacija Islama Magrebas valstis,E
AQIM,E
Groupe salafiste pour la pr�dication et le combat,E
Grupo Salafista de Pr�dica e Combate,E
Grupo Salafista para la Predicaci�n y el Combate,E
Le Groupe Salafiste pour la Pr�dication et le Combat (GSPC),E
Organisation Al-Qaida im Islamischen Maghreb,E
Organiza�ia Al-Qaida �n Magrebul islamic,E
Organiza��o da Al-Qaida no Magrebe Isl�mico,E
Organizatia Al-Qaida �n Magrebul islamic,E
Organization of Al-Qaida in the Islamic Maghreb,E
Salafist Group For Call and Combat,E
Al Wafa,E
Al Wafa Organisation,E
L'organisation humanitaire de Wafa,E
Organiza��o Al Wafa,E
Organiza��o Humanit�ria Wafa,E
Wafa Al-Igatha Al-Islamia,E
Wafa Humanitarian Organisation,E
Abdul Hai Hazem,P
Abdul Hai Hazem Abdul Qader,P
Abd al-Hadi al-Ansari,P
Abd al-Hadi al-Iraqi,P
Abd al-Muhayman,P
Abdal Al-Hadi Al-Iraqi,P
Abdul Hadi al-Taweel,P
Abdul Hadi Arif Ali,P
Abu Abad�a,P
Abu Abdallah,P
Abu Ayub,P
Nashwan Abd Al-Razzaq Abd Al-Baqi,P
Omar Uthman Mohammed,P
Abdul Rahman YASIN,P
"Taha, Abdul Rahman S.",P
"Taher, Abdul Rahman S.",P
"Yasin, Abdul Rahman Said",P
"Yasin, Aboud",P
Abdullah Ahmed Abdullah El Alfi,P
Abu Mariam,P
"Al-Masri, Abu Mohamed",P
Saleh,P
Abu Hafs de Mauritani�r,P
Abu Hafs el Mauritano,P
Abu Hafs il Mauritano,P
Abu Hafs le Mauritanien,P
Abu Hafs the Mauritanian,P
"Abu Hafs, o Mauritano",P
Khalid Al-Shanqiti,P
Mafouz Walad Al-Walid,P
Mahfouz Ould Al-Walid,P
Abdul Rahman Agha,P
Abdul Man�am Saiyid,P
Abdul Manan,P
Abdul Manan Agha,P
Saiyid Abd al-Man,P
Agha Saheb,P
Sayed Mohamad Azim Agha,P
Sayed Mohammad Azim Agha,P
Sayed Ghias,P
Sayed Ghiasuddin Sayed Ghousuddin,P
Sayyed Ghayasudin,P
Sayyed Ghiassouddine Agha,P
Mohamad Ahmadi,P
Mohammad Ahmadi,P
"AHMAD, Abu Bakr",P
Ahmed el Tanzano,P
Ahmed Khalfan Ghailani,P
Ahmed le Tanzanien,P
Ahmed Tanzanianul,P
AHMED THE TANZANIAN,P
"AHMED, A",P
"AHMED, Abubakar",P
"AHMED, Abubakar K.",P
"AHMED, Abubakar Khalfan",P
"AHMED, Abubakary K.",P
"AHMED, Ahmed Khalfan",P
"AL TANZANI, Ahmad",P
"ALI, Ahmed Khalfan",P
"BAKR, Abu",P
FOOPIE,P
FUPI,P
"GHAILANI, Abubakary Khalfan Ahmed",P
"GHAILANI, Ahmed",P
"GHILANI, Ahmad Khalafan",P
Haytham al-Kini,P
"HUSSEIN, Mahafudh Abubakar Ahmed Abdallah",P
"KHABAR, Abu",P
"KHALFAN, Ahmed",P
"MOHAMMED, Shariff Omar",P
Ahmed Jan Akhund,P
Ahmed Jan Akhundzada Wazir,P
Haji Ahmad Jan,P
Mohamad Esa Akhund,P
Mohammad Essa Akhund,P
Attiqullah Akhund,P
Obaid Ullah Akhund,P
Obaidullah Akhund,P
Ubaidullah Akhund Yar Mohammed Akhund,P
Ubaydullah Akhund,P
Mohamad Abbas Akhund,P
Mohammad Abbas Akhund,P
Abu Asim Al-Makki,P
Ahmed,P
"Al-Hamati, Muhammad",P
Mohamed Mohamed Abdullah Al-Ahdal,P
Mohammad Hamdi Mohammad Sadiq Al-Ahdal,P
Muhammad Muhammad Abdullah Al-Ahdal,P
"Al-Haq, Amin",P
Amin Muhammad Ul Haq Saam Khan,P
"Amin, Muhammad",P
Dr Amin,P
"Ul-Haq, Dr Amin",P
Salem Ahmed Salem Hamdam,P
Salim Ahmad Hamdan,P
Salim Ahmad Salim Hamdan,P
Saqar Al Jadawi,P
Saqar Aljawadi,P
Saqr Al-Jaddawi,P
Abu Bakr Al-Jaziri,P
Yasir Al-Jazari,P
Abd al-Muhsi,P
Abd al-Muhsin,P
Abd al-Rahman,P
Abdel Ilah Sabri,P
Abdul Rahman,P
Abu Anas,P
Ibrahim Abubaker Tantouche,P
Ibrahim Abubaker Tantoush,P
Ibrahim Ali Abu Bakr Tantoush,P
Ibrahim Ali Muhammad Abu Bakr,P
Aminullah Amin,P
Aminullah Amin Quddus,P
Aminullah Amin Qudus,P
Muhammad Yusuf,P
Nazirullah Aanafi Waliullah,P
Nazirullah Hanafi Waliullah,P
Mohamed Taher Anwari,P
Mohammad Taher Anwari,P
Mohammad Tahre Anwari,P
Muhammad Taher Anwari,P
Muhammad Tahir Anwari,P
Haji Mudir,P
Arefullah Aref,P
Arefullah Aref Ghazi Mohammad,P
"Asem, Esmatullah Maulavi",P
Asmatullah Asem,P
Esmatullah Asem,P
Sayed Esmatullah Asem,P
Sayed Esmatullah Asem Abdul Quddus,P
Atiqullah,P
Atiqullah Wali Mohammad,P
Ahmed Dahir Aweys,P
"Ali, Sheikh Hassan Dahir Aweys",P
"Awes, Shaykh Hassan Dahir",P
Aweys Hassan Dahir,P
Hassan Dahir Awes,P
Hassan Dahir Aweys,P
Hassan Tahir Oais,P
Hassan Tahir Uways,P
Hassen Dahir Aweyes,P
Mohammed Hassan Ibrahim,P
Sheikh Aweys,P
Sheikh Hassan,P
Sheikh Hassan Dahir Aweys,P
Abdul Qader Abdul Aziz Abdul Moez Al Doctor,P
Abu Fatma,P
Abu Mohammed,P
Ahman Fuad Salim,P
Ahmed Fuad Salim,P
Aiman Muhammed Rabi Al-Zawahiri,P
Al Zawahiri Ayman,P
Al Zawahry Aiman Mohamed Rabi Abdel Muaz,P
Al Zawahry Aiman Mohamed Rabi,P
Al Zawahry Aiman Mohamed Rabie,P
Al Zawahry Aiman Mohamed Robi,P
Ayman Al Zawahari,P
Ayman Al-Zawahari,P
Dhawahri Ayman,P
Eddaouahiri Ayman,P
Nur Al Deen Abu Mohammed,P
Azizirahman Abdul Ahad,P
Abdul Baqi,P
Abdul Baqi Basir Awal Shah,P
Abdul Ghani Baradar,P
Abdul Ghani Baradar Abdul Ahmad Turk,P
Mu��a Baradar Akhund,P
Mulla Baradar Akhund,P
Mullah Baradar Akhund,P
Abdul Bari Akhund,P
Haji Mullah Sahib,P
Zakir,P
"Bin Marwan, Bilal",P
"Tr�mie Marwan, Bilal",P
Shahabuddin Delawar,P
Ehsanullah Sarfadi,P
Ehsanullah Sarfida,P
Ehsanullah Sarfida Hesamuddin Akhundzada,P
Ehsanullah Sarfida Hesamuddin Akhundzadeh,P
Mohamad Azam Elmi,P
Mohammad Azam Elmi,P
Muhammad Azami,P
Mohamed Eshaq Akhundzadeh,P
Mohammad Eshaq Akhunzada,P
Mohammad Ishaq Akhund,P
Ezatullah Haqqani,P
Ezatullah Haqqani Khan Sayyid,P
Ezatullah Haqqani Khan Sayed,P
Faiz,P
Gul Ahmad Hakimi,P
Hamidullah Akhund,P
Hamidullah Akhund Sher Mohammad,P
Janat Gul,P
Pahlawan Shamsuddin,P
Shamsuddin,P
Abdul Salam Hanafi Ali Mardan Qul,P
Abdussalam Hanifi,P
Hanafi Saheb,P
Din Mohamad Hanif,P
Din Mohammad Hanif,P
Iadena Mohammad,P
Qari Din Mohammad,P
Jalaluddin Haqani,P
Jalaluddin Haqqani,P
Jallalouddin Haqqani,P
Jallalouddine Haqani,P
Sayed Mohamad Haqqani,P
Sayyed Mohammad Haqqani,P
Sayyed Mohammed Haqqani,P
Mohamad Salim Haqqani,P
Mohammad Salim Haqqani,P
Mohamad Moslem Haqani Muhamadi Gul,P
Mohammad Moslim Haqqani Muhammadi Gul,P
Moslim Haqqani,P
Najibullah Haqani,P
Najibullah Haqqani Hedayetullah,P
Najibullah Haqqani Hidayatullah,P
Mohamad Hasan Akhund,P
Mohammad Hassan Akhund,P
Abu-Ahmad Al-Amriki (der Amerikaner),P
Abu-Ahmad Al-Hawen,P
Abu-Ahmad Al-Shahid,P
"AL-AMRIKI, Abu-Ahmad (�l'Americano�)",P
"AL-AMRIKI, Abu-Ahmad (de Amerikaan)",P
"Al-Amriki, Abu-Ahmad (Der Amerikaner)",P
"Al-Amriki, Abu-Ahmad (El Americano)",P
"AL-AMRIKI, Abu-Ahmad (l'Am�ricain)",P
"AL-AMRIKI, Abu-Ahmad (o Americano)",P
"Al-Amriki, Abu-Ahmad (The American)",P
"Al-Hawen, Abu-Ahmad",P
"Al-Maghribi, Rashid (�de Marokkaan�)",P
"Al-Maghribi, Rashid (�O Marroquino�)",P
"Al-Maghribi, Rashid (Der Marokkaner)",P
"Al-Maghribi, Rashid (El Marroqu�)",P
"Al-Maghribi, Rashid (il marocchino)",P
"Al-Maghribi, Rashid (le Marocain)",P
"Al-Maghribi, Rashid (The Moroccan)",P
"Al-Shahid, Abu-Ahmad",P
"Hijazi, Raed M.",P
Raed M. Hijazi,P
Raed Muhammad Hasan Muhammad Hijazi,P
Rashid Al-Maghribi (der Marokkaner),P
Ri'ad (Raed) Muhammad Hasan MUHAMMAD HIJAZI,P
Ri'ad Muhammad Hasan Muhammad Hijazi,P
Riad (Raed) Muhammad Hasan MUHAMMAD HIJAZI,P
Abu-Ahmad Al-Amriki (amerikaneren),P
Rashid Al-Maghribi (Maro�an),P
Rashid Al-Maghribi (marokkaneren),P
Abu-Ahmad Al-Amriki,P
Abu-Ahmad Al-Amriki (amerikietis),P
Abu-Ahmad Al-Amriki (Amerykanin),P
Abu-Ahmad Al-Amriki (Ameri�an),P
Abu-Ahmad Al-Amriki (az amerikai),P
Abu-Ahmad Al-Amriki (l-Amerikan),P
Abu-Ahmad Al-Amriki [amerikanen],P
"Al-Amriki, Abu-Ahmad (�Americanul�)",P
"Al-Maghribi, Rashid (�Marocanul�)",P
Rashid Al-Maghribi (a marokk�i),P
Rashid Al-Maghribi (el Marroqu�),P
Rashid Al-Maghribi (il-Marokkin),P
Rashid Al-Maghribi (le Marocain),P
Rashid Al-Maghribi (marokietis),P
Rashid Al-Maghribi (Maroka�czyk),P
Rashid Al-Maghribi (the Moroccan),P
Rashid Al-Maghribi [marockanen],P
Abdul Rahman Ahmad Hottak,P
Abdul Rahman Ahmad Hutak,P
Hottak Sahib,P
Abdul Jabar Omari,P
Abdul Jabbar Omari,P
Muawin Jabbar,P
Mullah Jabar,P
Abdul Jalil Akhund,P
Abdul Jalil Haqqani,P
Abdul Jalil Haqqani Wali Mohammad,P
Akhter Mohmad,P
Haji Gulab Gul,P
Nazar Jan,P
Haji Sahib,P
Qudratullah Jamal,P
Ahmad Jan Akhund Zada,P
Ahmad Jan Akhundzada Shukoor Akhundzada,P
Ahmad Jan Akhundzadeh Shokur Akhundzadeh,P
Ahmad Jan Akhunzada,P
Abdullah Jan Agha,P
Janan Agha,P
"Kabir, A. Maulavi",P
A. Kabir,P
Abdul Kabir Mohamad Jan,P
Abdul Kabir Mohammad Jan,P
Kakazada,P
Mula Nasir,P
Mullah Nasir,P
Rahmatullah Kakazada,P
Rahmatullah Kakazadeh,P
Rehmatullah,P
Khairullah Khairkhwah,P
Khayrullah Khayrkhwah,P
Khirullah Said Wali Khairkhwa,P
Mullah Khairullah Khairkhwah,P
Jan Mohammad Madani Ikram,P
Diya� al-Rahman Madani,P
Madani Saheb,P
Zaia u Rahman Madani,P
Zia-ur-Rahman Madani,P
Ziaurrahman Madani,P
"Mahmood, Sultan Bashir-Ud-Din",P
"Mahmood, Sultan Bashiruddin",P
"Mehmood, Dr. Bashir Uddin",P
"Mekmud, Sultan Baishiruddin",P
"Mehmood, Dott. Bashir Uddin",P
"Majeed, Abdul",P
Majeed Chaudhry Abdul,P
"Majid, Abdul",P
Al Kifah,E
MAK,E
Makhtab Al-Khidamat,E
Abdul Manan Mohammad Ishak,P
Akhtar Mohamad Mansur Shah Mohamad,P
Akhtar Mohammad Mansoor,P
Akhtar Mohammad Mansour Khan Muhammad,P
Akhtar Mohammad Mansour Shah Mohammed,P
Akhtar Muhammad Mansoor,P
Naib Imam,P
Abdul Latif Mansoor,P
Abdul Latif Mansur,P
Wali Mohammad,P
Mawlawi Nanai,P
Mohamadullah Mati,P
Mohammadullah Mati,P
Matiullah,P
Fazel Mohammad Mazloom,P
Fazl Mohamad Mazlum,P
Fazl Mohammad Mazloom,P
Molah Fazl,P
Doost Mohammad,P
Dost Mohamad,P
Dost Mohammad,P
Nazar Mohamad,P
Nazar Mohammad,P
Nazir Mohammad Abdul Basir,P
Nik Mohamad,P
Nik Mohamad Dost Mohamad,P
Nik Mohammad,P
Nik Mohammad Dost Mohammad,P
"Mohammad, Qari Din",P
Mohamad Shafiq Mohamadi,P
Mohammad Shafiq Mohammadi,P
Amir Khan Motaqi,P
Amir Khan Muttaqi,P
Abdul Haq,P
Abdulhai Motmaen,P
Abdulhay Motmaen,P
Abdul Haq Sohn von M. Anwar Khan,P
Muhammad 'Atif,P
Abu Hafs,P
Abdullah Hamad Mohamad Karim,P
Abdullah Hamad Mohammad Karim,P
al-Hammad,P
"Muttaqi, Amir Khan",P
Gul Mohammad,P
Gul Mohammad Kamran,P
Haji Ghul Mohammad,P
Haji Gul Mohammed Naim Barich,P
Mawlawi Gul Mohammad,P
Mohammad Naim,P
Mohammad Naim Barich Khudaidad,P
Mullah Naeem Baraich,P
Mullah Naeem Barech,P
Mullah Naeem Baric,P
Mullah Naim Barech,P
Mullah Naim Barech Akhund,P
Mullah Naim Bareh,P
Mullah Naim Barich,P
Mullah Naimullah,P
Naim Berich,P
Spen Zrae,P
Najib Ullah,P
Najibullah Mohamad Juma,P
Najibullah Muhammad Juma,P
Hamdullah Nomani,P
Mohamad Alim Nurami,P
Mohammad Aleem Noorani,P
Norullah Noori,P
Nurullah Nuri,P
Hanafi Sahib,P
Rostam Nuristani,P
Rustum Hanafi Habibullah,P
Abdul Manan Nayazi,P
Abdul Manan Niazi,P
Abdul Manan Nyazi,P
Baryalai,P
Baryaly,P
Mohamad Omar,P
Mohammed Omar Ghulam Nabi,P
Ibrahim Haqqani,P
Mohamad Ibrahim Omari,P
Mohammad Ibrahim Omari,P
Abdul Qadeer Basir Abdul Baseer,P
Abdul Qadir,P
Abdul Qadir Basir,P
Abdul Qadir Haqqani,P
Ahmad Haji,P
"Qalamuddin, Maulavi",P
Abdul Ghafar Qurishi Abdul Ghani,P
Abdul Ghaffar Qureshi,P
Yar Mohamad Rahimi,P
Yar Mohammad Rahimi,P
Gud Mullah Mohammad Hassan,P
Mohamad Hasan Rahmani,P
Mohammad Hasan Rahmani,P
Gurg,P
Mohamad Rasul Ayub,P
Mohammad Rasul Ayyub,P
Abdul Rauf Khadem,P
Abdul Rawf Khadem,P
Mullah Abdul Rauf Aliza,P
Abdul Razaq Akhund Lala Akhund,P
Habibullah Reshad,P
Mohamad Sadeq Amir Mohamad,P
Mohammad Sadiq Amir Mohammad,P
"Sadruddin, Alhaj Mullah",P
Abdulhai Salek,P
Hamdullah Sanani,P
Hamdullah Sunani,P
Noor Mohammad Saqib,P
Nur Mohamad Saqib,P
"Sayed, Alhaj Mullah Sadudin",P
"Sayed, Alhaj Mul� Sadudin",P
Ibrahim al-Madani,P
Mohammed Salahaldin Abd El Halim Zidan,P
Muhamad Ibrahim Makkawi,P
Saif Al-�Adil,P
Sayf-Al Adl,P
Seif al Adel,P
Sadruddin,P
Saduddin Sayyed,P
Sadudin Sayed,P
Abdul Wahed Shafiq,P
Mohamed Shafiq Ahmadi Fatih Khan,P
Mohammad Shafiq Ahmadi,P
Mohammad Shafiqullah Ahmadi Fatih Khan,P
Mullah Shafiqullah,P
Said Ahmad Shahidkhel,P
Said Ahmed Shahidkhel,P
Shams Ur-Rahman Abdul Zahir,P
Shams Ur-Rahman Abdurahman,P
Shams ur-Rahman Sher Alam,P
Shams-u-Rahman,P
Shamsurrahman,P
Shamsurrahman Abdurahman,P
Abdul Ghafar Shinwari,P
Mohamad Sarwar Sidiqmal Mohamad Masud,P
Mohammad Sarwar Siddiqmal Mohammad Masood,P
Mohammad Sarwar Siddiqmal,P
Sher Mohamad Abbas Stanekzai Padshah Khan,P
Sher Mohammad Abbas Stanekzai Padshah Khan,P
Abdul Raqib Takhari,P
Amr al Fatih Fathi,P
Amr Al-Fatih Fathi,P
Hamdi Ahmad Farag,P
Tarek Anwar El Sayed Ahmad,P
Tariq Anwar El-Sayed Ahmed,P
Allah Dad Tabeeb,P
Allah Dad Tayeb Wali Mohamad,P
Allah Dad Tayeb Wali Muhammad,P
Allah Dad Tayyab,P
Salah Shihata Thirwat,P
Shahata Thirwat,P
Tarwat Salah Abdallah,P
Tharwat Salah Shihata,P
Tharwat Salah Shihata Ali,P
Mohammed Tufail,P
"Tufail, cheik Mohammed",P
"Tufail, S.M.",P
"Tufail, Sheik Mohammed",P
Abu Turab,P
Hedayatullah,P
Hidayatullah,P
Haji Karim,P
Noor ud Din Turabi,P
Nooruddin Turabi Muhammad Qasim,P
Nuruddin Turabi Mohamad Qasem,P
Ummah Tameer E-Nau (UTN),P
UTN,P
Abu Abdallah Abd Al Hakim,P
Al Qaqa,P
Ben Laden Osama,P
Ben Laden Ossama,P
Ben Laden Usama,P
Bin Laden Osama Mohamed Awdh,P
Bin Laden Usamah Bin Muhammad,P
Osama bin Ladin,P
Osama bin Muhammad bin Awad bin Ladin,P
Oussama Ben Laden,P
Shaykh Usama Bin Ladin,P
Usama bin Laden,P
Us�ma bin L�din,P
Usama bin Muhammad bin Awad bin Ladin,P
"Usama Bin Muhammed Bin Awad, Osama Bin Laden",P
Usama Muhammed Awad Bin Laden,P
Us�ma Muhammed Awad Bin L�din,P
Usamah Bin Muhammad Bin Ladin,P
Abu Ismail,P
Abu Omar Abu Umar,P
Abu Qatada Al-Filistini,P
Abu Umar Umar,P
Abu Umr Takfiri,P
Al-Samman,P
Al-Samman Uthman,P
Omar Mahmoud Uthman,P
Omar Mohammed Othman,P
Umar Uthman,P
Mohamad Wali Mohamad Ewaz,P
Mohammad Wali,P
Mohammad Wali Mohammad Ewaz,P
Walijan,P
Abdul-Haq Wasiq,P
Abdul-Haq Wasseq,P
Abdul-Haq Wassiq,P
Mohamad Jawad Waziri,P
Mohammad Jawad Waziri,P
Mohamad Yakub,P
Mohammad Yaqoub,P
"Zaeef, Abdul Salam",P
Abdul Rahman Zahed,P
Abdul Rehman Zahid,P
Jan Agha Ahmadzai,P
Mohamad Zahid,P
Mohammad Zahid,P
Zahid Ahmadzai,P
"Zaief, Abdul Salam Mullah",P
Khaled A. Al-Fauwaz,P
Khaled Al Fawwaz,P
Khaled Al-Fauwaz,P
Khaled Al-Fawwaz,P
Khalid Abd Al-Rahman Al-Fawaz,P
Khalid Abd Al-Rahman Hamd Al-Fawaz,P
Khalid Abdulrahman H. Al Fawaz,P
Khalid Al-Fawwaz,P
Khalik Al Fawwaz,P
Al-Haramain Islamic Foundation (Somalia),E
Al-Haramain Islamic Foundation (Somaalia),E
Al-Haramain Islamic Foundation (Szom�lia),E
Al-Haramain Islamic Foundation (Somalis),E
Al-Haramain Islamic Foundation (is-Somalja),E
Al-Haramain Islamic Foundation,E
Al-Haramain Islamic Foundation (Somali�),E
Al-Haramain Islamic Foundation (Som�lsko),E
Al-Haramain Islamic Foundation (Somalija),E
Fondation islamique Al-Haramain (Somalie),E
Funda.ia islamica Al-Haramain (Somalia),E
Funda��o Isl�mica Al-Haramain (Som�lia),E
Islamska zaklada Al-Haramain,E
Abu Hamza,P
Abu Hamza Al-Masri,P
Abu Hamza Al-Misri,P
Adam Ramsey Eaman,P
Kamel Mustapha Mustapha,P
Mostafa Kamel Mostafa,P
Mostafa Kamel Mostafa Ibrahim,P
Mustafa Kamel Mustafa,P
Mustapha Kamel Mustapha,P
Fathi Hannachi,P
Mohamed Ben Belgacem Ben Abdallah Al-Aouadi,P
Mohamed Ben Belkacem Aouadi,P
Abu Obeida,P
Al As�ad Ben Hani,P
Lased Ben Heni,P
Mohamed Abu Abda,P
Mohamed Aouani,P
Mohamed Ben Belgacem Awani,P
Mohamed Lakhal,P
Al-Mokhtar Ben Mohamed Ben Al-Mokhtar Bouchoucha,P
"Bushusha, Mokhtar",P
Abd El Kader Mahmoud Mohamed El Sayed,P
Abdel Khader Mahmoud Mohamed el Sayed,P
"Es Sayed, Kader",P
Omar El Mouhajer,P
Saber,P
Sami Ben Khamis Ben Saleh Elsseid,P
Adel Ben Al-Azhar Ben Youssef Ben Soltane,P
Adel Ben Al-Azhar Ben Youssef Hamdi,P
Zakariya,P
Yassine Chekkouri,P
Mehdi Ben Mohamed Ben Mohamed Kammoun,P
Salmane,P
Abou Ismail Al Djoundoubi,P
Abou Ismail el Jendoubi,P
Tarek Ben Habib Ben Al-Toumi Al-Maaroufi,P
Abdelhalim Hafed Abdelfattah Remadna,P
Abdelhalim Remadna,P
Jalloul,P
Isam Ali Mohamed Alouche,P
Mansour Thaer,P
Allah Kelet-t�rkiszt�ni Iszl�m P�rtja,E
Djamaat Turkistan,E
Eastern Turkistan Islamic Movement (ETIM),E
ETIM,E
Islamic Party of Turkestan,E
Kelet-t�rkiszt�ni Iszl�m P�rt,E
Movimento islamico del Turkestan orientale,E
Movimento Isl�mico do Turquest�o Oriental,E
Partido Isl�mico de Al� do Turquest�o Oriental,E
Partido Isl�mico do Turquest�o Oriental,E
Partido Isl�mico do Turquest�o,E
Partito islamico del Turkestan orientale,E
Partito islamico di Allah del Turkestan orientale,E
The Eastern Turkistan Islamic Party,E
The Eastern Turkistan Islamic Party of Allah,E
T�rkiszt�ni Iszl�m P�rt,E
Abderrahmane Al Maghribi,P
Mohamed Abbattay,P
Said Bahahji,P
Said Bahaji,P
Zouheir Al Maghribi,P
Abu Ubaydah,P
